# UK-IOT-IXI-2023::S2_employment - scenario S2_employment. NOT ALL OF THESE NUMBERS ARE OBSERVED.
# 627 of 11,236 cells (5.6 %) are ESTIMATED from an allocation proxy and 0 (0.0 %) were moved by the balancing solver.
# Cell-by-cell status is in provenance.csv in this folder; the caveats are in ../../report.md. Quoting a figure from this file without them states an estimate as a measurement.
code,label,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C25,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I561,I562,I563,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97,P3 S13,P3 S14,P3 S15,P51G,P52,P53,P61EU,P61RW,P62,Output
C105,Manufacture of dairy products,15.701841,0.151242,0.295879,0.001970,5.379548,3.263028,4.086111,44.908717,68.482390,24.461143,1337.359084,73.505522,839.754518,565.999316,2.147597,36.557995,4.072469,3.463146,0.243039,0.061096,3.542519,6.019020,3.534898,6.279459,1.238278,0.427957,0.412435,2.242513,4.566607,0.149493,6.919385,7.021478,3.400940,0.466052,1.044047,3.203798,5.349772,8.381010,12.214433,9.902986,7.138727,0.317852,3.139262,0.091185,3.448591,2.710081,0.049514,0.081566,0.569082,24.201265,6.177672,4.003831,0.024301,4.680940,0.030185,18.231858,104.831606,4.056615,105.933516,2.510160,127.097808,17.880423,4.669136,149.257697,14.040753,297.274603,674.398925,157.323077,298.143734,61.795611,21.912806,9.630259,63.133541,7.986124,32.091501,3.238843,30.903758,0.152185,0.450145,26.238235,0.416082,1.204012,0.559440,1.620591,1.573500,10.204035,8.424441,0.204913,0.476721,12.122335,8.107795,2.041267,19.272843,76.651217,7.795044,168.576222,70.109651,88.174057,5.274849,0.154013,23.748531,77.444094,9.401381,15.929967,11.324234,0.000000,0.000128,5874.231502,0.275545,16.867668,-267.187343,0.000000,1215.588399,516.884271,242.468895,13626.000000
C106,"Manufacture of grain mill products, starches and starch products",3.299964,0.117189,0.402961,0.003519,0.769041,0.395509,0.180863,545.075137,160.979144,0.108039,6.624812,427.524786,1065.558118,119.319433,1085.597958,868.947982,5.421839,0.988769,0.129612,0.127026,1.363538,21.530079,1.331532,1.281556,0.615067,0.352845,1.252813,0.652571,5.297186,0.421768,2.755766,6.738961,1.162557,0.416438,1.414288,0.222280,1.599087,3.585323,2.835529,8.096711,5.380637,0.228957,0.743075,0.049751,0.516045,0.780592,0.029598,0.041566,0.274547,2.189591,0.345411,0.227980,0.041652,0.528627,0.023974,7.069857,6.843296,1.695780,68.651421,0.488043,16.085786,0.544088,0.569699,15.206296,1.809866,49.799560,388.791294,90.696827,171.880001,3.773878,2.123877,1.068301,5.252594,0.276303,8.218183,0.374435,1.842323,0.095585,0.286330,20.931976,0.247722,1.037424,0.363012,2.337736,5.480323,0.461535,1.732130,0.124314,0.319274,1.350959,0.774289,0.091161,1.854863,42.177774,6.456654,137.640744,54.635791,133.634714,1.357827,0.107408,4.531688,31.472606,1.126713,1.812887,2.803726,0.000000,0.000064,902.667527,0.863217,33.500325,87.584130,0.000000,748.794835,361.671841,94.709586,7894.000000
C107,Manufacture of bakery and farinaceous products,16.982708,2.647325,1.895489,0.002062,5.876173,2.362548,3.745696,73.167058,43.968248,3.526868,15.920651,44.160787,353.511953,280.886837,61.304056,94.856446,40.556465,4.014253,1.049742,0.051805,5.879089,7.127827,4.065821,6.532443,1.972874,2.121794,2.023680,1.092550,5.814489,0.130524,16.242911,8.066593,3.142578,0.393345,5.040829,3.717165,5.601225,53.418343,53.027285,138.665249,37.766393,2.047122,4.565514,0.087211,6.623328,3.250553,0.044388,0.080736,0.520915,28.813681,9.312642,2.810301,0.038129,6.970712,0.051298,20.871195,121.209725,3.370201,151.388270,5.374605,280.999356,17.854578,4.848691,306.144837,19.619251,375.075817,1451.116455,338.514932,641.521304,69.292247,28.046085,10.760606,75.540517,8.318408,35.488907,6.112315,15.997932,0.276285,0.945798,34.700104,0.745539,1.323233,1.050068,5.452009,5.212321,12.717405,10.321415,1.854103,0.800813,14.771316,10.925097,2.700444,22.014840,69.075575,10.717057,255.523839,117.233280,202.794408,10.674443,1.059958,16.261510,94.978102,11.937582,21.444041,19.546638,0.000000,0.000000,6087.182638,1.076662,44.756546,-12.355886,0.000000,714.639303,511.610881,230.019691,13999.000000
C108,Manufacture of other food products,22.438634,1.076589,2.344529,0.040018,5.290650,7.521182,4.112832,525.602876,361.294187,3.896306,43.981013,383.996668,834.470734,2143.783832,163.355680,132.386679,435.377312,5.736863,1.261617,1.176506,16.062084,18.734005,15.756981,6.209967,1.864083,33.902993,2.294863,1.736085,6.877052,0.812181,15.400091,10.508944,8.552987,2.391018,5.355196,2.995519,17.746140,38.720634,37.897039,90.657290,40.384210,1.904735,8.165251,0.547765,7.035605,4.440555,0.257374,0.422938,2.839779,24.305831,7.252845,2.218697,0.285768,13.264997,0.714301,68.397389,78.066909,67.523718,139.204183,5.319335,174.686877,10.480331,6.536899,172.100917,11.570080,769.644923,2271.519536,529.897706,1004.211736,45.154695,31.921763,11.930875,32.425906,7.127688,73.577422,10.382292,39.941303,0.627563,2.167772,48.019433,2.405566,1.938151,1.608825,19.630051,14.493973,8.577118,7.626888,1.805845,2.745584,9.932011,8.433003,1.117323,49.183538,45.177760,51.992130,395.800373,324.122836,641.679542,21.746212,2.245392,25.140222,177.935958,22.053057,13.084355,51.044841,0.000000,4.398928,6219.773471,3.179350,114.301310,-564.887505,0.000000,2620.579443,2366.892178,485.144508,24291.000000
C109,Manufacture of prepared animal feeds,1588.231812,0.456926,232.581728,0.016741,1.353218,1.339252,0.569289,19.556627,9.880724,0.507550,10.876467,9.307419,24.402695,20.575041,1294.133900,7.332537,4.529632,1.804443,0.754001,0.515730,5.699629,8.883744,6.184723,1.496211,0.913382,1.541872,1.475652,1.047112,2.815163,0.521956,8.078211,4.665046,2.738481,1.653293,3.252297,0.877641,9.486884,3.486751,3.915832,10.373162,14.754303,1.031940,3.816185,0.328275,1.797965,2.591852,0.171697,0.247514,1.927839,5.286521,0.788039,0.361889,0.084011,2.460163,0.095154,54.577787,3.364321,9.869315,8.717979,0.726035,6.179363,0.816996,1.587728,5.089482,0.847403,12.802512,34.676100,8.089204,15.329891,4.439191,29.998957,2.283310,6.069374,0.450064,3.507320,0.656816,1.814519,0.286770,1.467526,36.730413,0.754475,0.472894,1.141542,6.899457,2.745829,1.190115,2.035952,2.628917,1.132029,0.696678,0.614432,0.248173,3.053143,6.494318,13.636449,11.822021,35.935846,9.567728,6.415598,4.116118,5.491752,31.426898,9.717547,0.708979,3.700918,0.000000,1.954207,4551.796349,0.276062,37.013355,-118.012493,0.000000,634.408585,472.030685,245.930949,9582.000000
C1101T1106 & C12,Manufacture of alcoholic beverages  & Tobacco Products,7.323169,0.466396,0.365821,0.025922,2.353305,1.894027,1.016878,15.929238,6.527855,0.282760,4.012248,10.242790,23.898413,10.101971,24.911947,165.161414,4.976077,1.338233,0.590050,0.162387,2.022293,3.676759,1.585227,1.108428,0.735831,1.105917,1.035031,0.870601,1.685295,0.421513,8.635419,3.668217,1.971497,1.407075,2.748445,0.724064,7.050138,2.900133,2.833803,7.277977,9.359161,0.919547,2.910864,0.326545,1.413487,2.052182,0.140209,0.546816,2.102884,4.864303,1.149388,0.646345,0.312146,4.805814,0.649366,61.583336,4.622454,28.295299,22.070764,12.227166,13.440031,8.118902,10.969019,13.063247,4.350201,725.839369,1985.459055,463.165816,877.747804,2.714317,6.915107,3.903196,5.330890,0.653737,27.006097,2.508771,9.912800,1.293680,7.266476,23.680434,2.320290,2.183416,4.657644,8.814587,6.648826,2.168484,3.292572,0.733053,10.725126,2.187463,1.481999,0.447365,3.722884,5.552688,12.841863,21.198003,28.297064,15.446048,7.290761,27.371274,17.871280,149.249920,177.388562,0.537040,3.035130,0.000000,3.177908,4954.785442,1.446423,53.817062,-818.539032,0.000000,3170.015377,4086.200122,1067.251774,17723.000000
C1107,Manufacture of soft drinks; production of mineral waters and other bottled waters,1.024860,0.052838,0.046748,0.003270,0.349952,0.442135,0.197090,3.188863,17.832507,0.042490,2.019410,7.960584,18.312578,47.714951,2.152148,12.773164,195.896322,0.294530,0.083732,0.027891,0.415381,0.719000,0.376108,0.334093,0.187195,0.205481,0.159209,0.142867,0.342980,0.056683,0.774882,0.941073,0.447112,0.175670,0.361673,0.170420,1.170658,1.803921,1.716334,4.206280,2.221375,0.170656,0.506110,0.047794,0.414670,0.373992,0.016707,0.044262,0.264417,1.767441,0.569736,0.167012,0.044551,0.814423,0.047693,18.558901,4.230769,6.483057,16.250273,0.906361,9.720166,2.389436,0.932841,14.094110,0.747077,387.086196,1047.839760,244.438965,463.237479,2.405949,243.801413,1.590069,3.922303,0.346400,38.564819,2.747368,13.138702,0.336587,1.538416,29.870219,1.692948,0.326688,0.632200,1.842709,0.636746,1.670344,1.407573,0.116075,0.634568,0.992132,0.827180,0.085064,0.998340,7.605921,11.340362,100.117361,12.520686,74.225729,0.600007,12.352407,8.506178,113.889168,45.142036,0.683159,1.883020,0.000000,0.001085,3101.947297,0.939927,25.567729,-94.923050,0.000000,387.167007,177.331481,373.468363,7260.000000
C13,Manufacture Of Textiles  ,14.108501,0.419468,0.434221,0.025315,2.519580,2.381259,0.789841,10.985264,4.979871,0.516720,7.179072,3.117089,10.443095,12.175716,2.965271,6.269340,10.541375,2.417092,162.888389,11.469749,3.384034,10.331528,8.542035,1.622373,1.197900,5.875292,2.381937,1.233945,2.708782,0.618001,8.617758,6.513773,3.028520,3.525371,4.605122,0.766529,16.247866,6.642014,10.215515,17.164904,229.746610,1.991286,4.983202,0.531141,41.354000,10.138442,0.203779,0.318758,6.326105,9.837585,1.970921,0.542862,0.172157,9.185697,0.449859,494.901055,3.872923,220.185180,28.461212,1.524627,9.639259,1.079890,1.723754,8.910949,2.735451,4.371766,13.330252,3.109667,5.893146,19.068433,3.700226,4.415500,9.855908,1.816632,12.305026,4.995750,7.607080,0.998594,11.005190,13.752617,3.482908,1.464393,1.363124,5.973999,11.065640,3.949199,3.962989,1.312655,2.777617,0.908144,1.356084,0.370835,8.916478,2.661014,36.444139,53.562734,121.402898,8.335330,2.125555,1.683651,1.612556,7.001657,1.767177,0.635841,57.661656,0.000000,0.977901,3367.733501,1.564282,612.286967,-339.419917,2.010736,870.221768,660.372790,445.591783,7552.000000
C14,Manufacture Of Wearing Apparel  ,3.845535,0.232328,0.214634,0.014983,0.698775,1.053183,0.320596,2.821986,2.002660,0.186539,1.493131,0.881835,2.408268,2.433546,1.238983,1.798830,1.073948,0.909843,3.391843,0.328066,1.206836,2.192302,4.085687,0.745171,0.599450,0.747528,0.695794,0.623059,1.039014,0.252075,3.378238,2.318757,1.409031,0.765401,1.622791,0.460726,4.054787,1.768100,1.802688,4.732918,9.635875,0.454223,1.879108,0.192943,1.532437,3.577272,0.089839,0.171027,1.180913,2.741176,0.393293,0.174094,0.051506,1.950959,0.112320,28.190367,2.194805,21.724145,13.737280,0.547746,9.767754,0.620075,1.769978,3.012641,1.109326,1.616478,3.871255,0.903082,1.711436,6.684546,2.516005,1.317899,2.033643,0.211524,4.987745,2.754479,3.340054,0.219940,1.051383,4.048813,1.085855,0.257258,0.611210,3.046352,1.749779,1.793139,4.128229,0.451652,1.376056,0.475406,0.746577,0.133031,1.461554,1.980232,23.104085,11.729661,30.801528,5.870737,0.589109,0.486542,0.345472,2.285323,1.375248,0.365054,2.314021,0.000000,0.492684,2148.282370,0.377726,23.978965,-1004.771705,1.103560,48.004700,77.648757,1830.390582,3430.000000
C15,Manufacture Of Leather And Related Products  ,3.058116,0.234198,0.213763,0.002577,0.473310,0.428761,0.166398,4.292731,1.498132,0.150947,1.377411,0.762072,1.162781,2.224871,0.953427,1.220621,0.803892,0.748808,0.615458,0.099063,0.769404,1.641931,0.873195,0.566674,0.365904,0.615025,0.585115,0.423979,0.890924,0.206659,2.772721,1.521315,0.611617,0.647896,1.401940,0.375511,3.462563,1.300826,1.570593,4.001042,7.212015,0.420199,1.611992,0.125371,0.870724,1.284677,0.070400,0.106324,0.849245,2.092236,0.263487,0.107996,0.074562,1.059571,0.028434,23.124903,7.244545,4.809313,2.565490,0.122222,2.767923,0.271184,0.573299,1.289799,0.216756,1.588983,4.194714,0.978538,1.854433,1.411845,0.978255,0.953862,0.864834,0.096569,4.072148,1.848271,7.354266,0.061403,0.452315,15.217129,0.148132,0.066961,0.304202,1.299719,1.161358,0.301656,0.440548,0.272097,1.661648,0.171290,0.142282,0.138337,0.757780,0.438309,88.434945,2.433870,8.696004,1.430069,0.166005,0.952767,0.987685,1.559876,0.313094,1.895218,10.983701,0.000000,0.000064,44.173407,0.117859,17.899975,-73.906517,0.091963,45.490052,57.312437,662.480799,1025.000000
