# a_ij = Z_ij / X_j. An EMPTY cell means the coefficient could not be computed (zero output), which is not the same as a coefficient of zero.
A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C25,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,F41, F42  & F43,G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I561,I562,I563,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97
0.18256267,0.00899928,0.00003693,0.00049912,0.00016593,0.00035201,0.00045592,0.24308468,0.06455158,0.00025601,0.39764482,0.01493268,0.00016663,0.00016238,0.12195666,0.04632880,0.00019679,0.00015114,0.00006507,0.00701108,0.00017626,0.00117140,0.00010986,0.00007234,0.00022150,0.00008644,0.00009503,0.00015568,0.00660926,0.00011568,0.00303232,0.00014891,0.00048367,0.00010226,0.00013933,0.00008225,0.00014958,0.00011362,0.00014598,0.00013373,0.00004502,0.00011580,0.00013363,0.00042786,0.00053035,0.00015618,0.00005026,0.00009876,0.00015724,0.00009639,0.00038926,0.00017390,0.00005263,0.00031040,0.00066317,0.00055505,0.00014320,0.00034765,0.00030558,0.00064330,0.00054367,0.00018857,0.00054655,0.00025875,0.00018480,0.00261418,0.00032022,0.00032022,0.00032022,0.00011499,0.00023077,0.00012080,0.00022355,0.00010423,0.00018344,0.00015049,0.00008317,0.00018394,0.00013753,0.00031605,0.00019871,0.00011535,0.00023406,0.00124582,0.00030547,0.00036547,0.00105246,0.00004244,0.00024807,0.00013859,0.00092434,0.00005919,0.00011436,0.00025351,0.00020461,0.00015417,0.00031656,0.00066391,0.00017972,0.00015354,0.00241512,0.00028491,0.00015723,0.00047342,0.00009909,0.00000000
0.00703563,0.18384325,0.00000458,0.00000890,0.00000274,0.00000784,0.00000684,0.00000457,0.00000675,0.00000573,0.00000933,0.00000477,0.00000444,0.00000400,0.00000489,0.00000874,0.00000523,0.00000451,0.00000449,0.00000435,0.02349654,0.00836497,0.00000436,0.00000072,0.00000372,0.00000328,0.00000413,0.00037750,0.00000438,0.00000500,0.00000451,0.00000382,0.00000501,0.00000449,0.00000772,0.00000298,0.00000536,0.00000345,0.00000421,0.00000406,0.00003031,0.00000597,0.00000354,0.00000446,0.00052082,0.00000394,0.00000257,0.00000484,0.00000489,0.00381785,0.00000100,0.00000244,0.00000172,0.00000712,0.00002610,0.00000636,0.00000365,0.00000645,0.00000611,0.00004075,0.00000562,0.00001150,0.00002780,0.00000803,0.00000614,0.00001367,0.00000696,0.00000696,0.00000696,0.00000392,0.00000686,0.00000483,0.00001043,0.00000328,0.00000361,0.00000247,0.00000378,0.00000670,0.00000134,0.00006767,0.00000619,0.00000331,0.00000730,0.00000530,0.00000453,0.00000508,0.00000645,0.00000282,0.00001163,0.00000371,0.00002942,0.00000222,0.00000526,0.00000525,0.00000516,0.00000587,0.00000491,0.00000606,0.00000338,0.00001052,0.00000886,0.00003404,0.00000403,0.00037404,0.00000326,0.00000000
0.00000280,0.00000302,0.00002072,0.00000707,0.00000226,0.00001197,0.00000544,0.00000154,0.12072102,0.00000188,0.00000645,0.00000171,0.00000176,0.00000148,0.00000143,0.00000712,0.00000188,0.00000101,0.00000090,0.00000189,0.00000245,0.00000307,0.00000203,0.00000112,0.00000064,0.00000088,0.00000110,0.00000103,0.00000155,0.00000175,0.00000252,0.00000254,0.00000273,0.00000291,0.00000355,0.00000110,0.00000330,0.00000227,0.00000129,0.00000088,0.00000131,0.00000359,0.00000178,0.00000927,0.00000246,0.00000111,0.00000110,0.00000358,0.00000312,0.00000063,0.00000104,0.00000227,0.00000162,0.00000666,0.00002441,0.00000441,0.00000433,0.00000692,0.00000886,0.00003589,0.00000508,0.00007613,0.00002547,0.00000918,0.00000554,0.00001305,0.00000668,0.00000668,0.00000668,0.00000279,0.00000969,0.00000619,0.00001339,0.00000374,0.00000496,0.00000350,0.00000468,0.00000835,0.00000115,0.00000960,0.00000969,0.00000378,0.00000718,0.00000569,0.00011717,0.00000754,0.00000686,0.00000247,0.00001045,0.00000423,0.00005374,0.00000169,0.00000452,0.00000582,0.00000630,0.00000673,0.00000464,0.00000531,0.00000356,0.00001558,0.00001343,0.00006060,0.00000391,0.00000337,0.00000412,0.00000000
0.00000004,0.00000006,0.00000001,0.00000008,0.00000004,0.00000000,0.00000012,0.00000002,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,0.00000000,0.00000006,0.00000000,0.00000000,0.00000000,0.00000004,0.00000001,0.00000000,0.00000000,0.00000004,0.00000013,0.00000000,0.00000000,0.00000000,0.00000009,0.00000000,0.00000000,0.00000001,0.00000002,0.00000024,0.00000000,0.00000007,0.00000000,0.00000001,0.00000002,0.00000000,0.00000014,0.00000016,0.00000011,0.00000012,0.00000018,0.00000008,0.00000000,0.00000236,0.00000002,0.00000010,0.00000006,0.00000001,0.00000001,0.00000000,0.00000000,0.00000005,0.00000001,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,0.00000001,0.00000005,0.00000006,0.00000001,0.00000015,0.00000033,0.00000066,0.00000000,0.00000000,0.00000015,0.00000008,0.00000000,0.00000000,0.00000007,0.00000000,0.00000001,0.00000000,0.00000001,0.00000000,0.00000010,0.00000002,0.00000023,0.00000002,0.00000004,0.00000003,0.00000002,0.00000011,0.00000000,0.00000003,0.00000000,0.00000000,0.00000001,0.00000000
0.00026353,0.00012530,0.00052097,0.00068504,0.01969826,0.00138555,0.00095076,0.00037386,0.00036163,0.00050573,0.00035204,0.00020349,0.00031159,0.00023985,0.00018439,0.00035132,0.00031384,0.00032883,0.00012640,0.00023371,0.00029010,0.00028899,0.00016376,0.05668968,0.00038816,0.00024315,0.00017908,0.00026355,0.00018344,0.00014410,0.00020700,0.00021355,0.00088670,0.00015703,0.00373495,0.00030471,0.00051833,0.00019650,0.00034861,0.00051243,0.00015628,0.00012954,0.00039824,0.00093367,0.00016114,0.00029850,0.00003745,0.00008082,0.00028733,0.03144649,0.00013572,0.00037639,0.00001613,0.00046681,0.00063432,0.00055806,0.00011028,0.00038022,0.00023697,0.00012833,0.00070531,0.00048617,0.00005890,0.00016811,0.00015795,0.00006351,0.00008192,0.00008192,0.00008192,0.00008344,0.00011733,0.00002069,0.00004147,0.00002114,0.00018936,0.00006410,0.00008740,0.00007124,0.00022692,0.00037788,0.00006168,0.00000995,0.00004872,0.00345598,0.00012873,0.00004725,0.00017201,0.00002402,0.00011118,0.00005547,0.00008797,0.00002633,0.00011744,0.00007215,0.00016606,0.00008550,0.00031555,0.00009201,0.00012722,0.00006927,0.00002509,0.00032090,0.00007350,0.00026230,0.00003322,0.00000000
0.00032411,0.00013376,0.00007203,0.00043363,0.00004654,0.04869461,0.00017802,0.00015018,0.00026964,0.00023797,0.00013508,0.00014045,0.00017986,0.00057722,0.00017548,0.00122067,0.00162203,0.00014411,0.00010996,0.00018387,0.00061966,0.00024482,0.00014037,0.00003329,0.00167640,0.00009624,0.00013146,0.00019540,0.00011715,0.00017275,0.00008032,0.00024629,0.02013114,0.04347968,0.00109849,0.00008875,0.00643073,0.00007325,0.00013009,0.00013476,0.00028220,0.00052931,0.00008425,0.00015903,0.00012175,0.00436560,0.00004863,0.00008915,0.00010533,0.00006455,0.00001209,0.00015864,0.00005379,0.00023567,0.00028094,0.01105313,0.00008955,0.00032069,0.00017069,0.00036028,0.00056198,0.00010600,0.00016178,0.00020192,0.00015643,0.00010942,0.00012743,0.00012743,0.00012743,0.00008208,0.00007438,0.00003855,0.00007402,0.00004011,0.00004004,0.00003137,0.00003325,0.00005815,0.00015748,0.00011680,0.00004431,0.00003482,0.00005320,0.00017806,0.00015380,0.00008322,0.00027016,0.00003251,0.00014301,0.00003629,0.00004441,0.00004128,0.00866858,0.00011922,0.00013755,0.00017283,0.00013894,0.00006927,0.00020919,0.00061331,0.00005070,0.00019478,0.00019718,0.00008689,0.00015388,0.00000000
0.00013381,0.00011655,0.00004853,0.00057317,0.05392298,0.05119969,0.03704981,0.00017651,0.00032817,0.00030322,0.00013767,0.00015453,0.00022037,0.00018368,0.00020391,0.00021475,0.00030391,0.00016814,0.00010959,0.00021577,0.00024302,0.00026420,0.00014622,0.00004875,0.00037769,0.00010597,0.00014244,0.00024445,0.00012544,0.00014336,0.00007043,0.00017945,0.00053665,0.00009627,0.00018233,0.00010283,0.00012708,0.00008376,0.00014771,0.00015681,0.00007005,0.00005212,0.00010658,0.00024176,0.00013249,0.00018361,0.00003636,0.00008593,0.00010735,0.00002103,0.00000929,0.00006103,0.00000566,0.00014609,0.00019506,0.00008306,0.00010060,0.00036303,0.00021921,0.00013410,0.00079720,0.00005143,0.00004495,0.00016570,0.00018179,0.00003946,0.00006427,0.00006427,0.00006427,0.00008209,0.00008460,0.00002797,0.00007346,0.00004364,0.00005636,0.00004012,0.00002516,0.00004496,0.00002555,0.00002270,0.00003771,0.00003061,0.00004281,0.00043028,0.00010472,0.00010154,0.00038332,0.00002259,0.00010595,0.00003690,0.00004388,0.00003461,0.00004777,0.00013006,0.00005691,0.00006766,0.00011800,0.00008305,0.00007905,0.00005472,0.00003788,0.00007889,0.00007142,0.00007779,0.00003830,0.00000000
0.00138320,0.00047874,0.00384296,0.00004015,0.00021380,0.00044102,0.00042864,0.18778096,0.00182348,0.02894047,0.00182719,0.00739732,0.01165664,0.04326150,0.01905783,0.00327789,0.00326924,0.00007280,0.00005437,0.00188666,0.00052778,0.00051818,0.00037796,0.00025271,0.00052314,0.00025284,0.00004645,0.00021615,0.00066588,0.00042985,0.00019732,0.00035972,0.00046989,0.00024725,0.00007228,0.00057707,0.00011633,0.00262781,0.00373631,0.00370115,0.00062977,0.00036037,0.00016625,0.00004186,0.00084067,0.00005539,0.00002040,0.00001424,0.00003097,0.00017422,0.00022479,0.00036276,0.00000391,0.00013208,0.00005779,0.00005042,0.00223034,0.00326458,0.00099902,0.00036927,0.00454777,0.00112308,0.00024952,0.00405574,0.00097801,0.01935514,0.03892369,0.03892369,0.03892369,0.00086127,0.00052490,0.00026181,0.00079363,0.00058153,0.00010851,0.00005340,0.00004401,0.00004191,0.00000323,0.00031307,0.00005421,0.00004194,0.00002410,0.00007094,0.00026718,0.00041515,0.00062323,0.00034060,0.00002169,0.00030119,0.00059638,0.00047130,0.00076328,0.00038105,0.00043205,0.00214119,0.00140932,0.00366962,0.00061327,0.00067785,0.00210039,0.00156003,0.00097635,0.00470737,0.00065425,0.00000000
0.00023458,0.00012787,0.00009304,0.00022620,0.00011819,0.00080063,0.00043921,0.00214325,0.03943134,0.00041795,0.00345292,0.01247076,0.02016497,0.02720447,0.00282504,0.00365023,0.06697254,0.00036481,0.00009706,0.00013276,0.00038463,0.00047689,0.00028643,0.00012782,0.00060680,0.00026251,0.00010816,0.00013838,0.00027584,0.00010100,0.00011225,0.00029772,0.00042911,0.00006534,0.00014958,0.00032679,0.00011343,0.00150960,0.00218988,0.00211822,0.00039703,0.00033920,0.00012999,0.00010093,0.00055749,0.00023980,0.00003760,0.00004478,0.00006409,0.00011014,0.00014112,0.00021607,0.00000461,0.00019338,0.00010476,0.00006799,0.00129884,0.00017734,0.00065865,0.00114963,0.00358178,0.00049229,0.00015867,0.00338842,0.00058010,0.01554447,0.01394787,0.01394787,0.01394787,0.00221641,0.00042191,0.00015478,0.00049652,0.00037368,0.00029191,0.00008521,0.00005151,0.00004231,0.00000653,0.00026794,0.00005724,0.00004485,0.00003108,0.00011472,0.00007573,0.00023392,0.00043257,0.00003608,0.00005388,0.00020863,0.00027554,0.00023420,0.00052238,0.00371858,0.00021808,0.00146512,0.00068354,0.00202289,0.00037229,0.00009012,0.00153889,0.00324023,0.00061468,0.00318621,0.00031683,0.00000000
0.00001157,0.00001156,0.00001007,0.00002927,0.00001540,0.00002873,0.00001027,0.00094111,0.00393618,0.00005345,0.00048198,0.00772927,0.01061706,0.00280244,0.00004686,0.00002667,0.00016583,0.00006280,0.00000964,0.00007388,0.00006708,0.00007555,0.00006961,0.00001889,0.00008325,0.00002206,0.00010123,0.00006627,0.00028043,0.00009680,0.00013451,0.00014238,0.00007314,0.00002026,0.00010801,0.00000969,0.00001391,0.00008956,0.00008847,0.00012027,0.00003994,0.00001185,0.00000912,0.00000959,0.00001933,0.00002581,0.00000539,0.00000336,0.00000557,0.00000695,0.00000132,0.00000803,0.00000178,0.00000593,0.00000767,0.00000475,0.00007290,0.00001349,0.00003813,0.00000756,0.00021221,0.00000593,0.00000432,0.00016605,0.00006563,0.00113974,0.00282511,0.00282511,0.00282511,0.00009571,0.00002046,0.00001054,0.00003119,0.00000388,0.00003973,0.00000132,0.00000272,0.00000268,0.00000044,0.00011238,0.00000233,0.00000140,0.00000206,0.00002165,0.00001844,0.00000311,0.00005381,0.00005909,0.00000265,0.00001876,0.00001909,0.00000286,0.00004055,0.00082882,0.00001094,0.00009586,0.00007725,0.00035562,0.00005650,0.00000663,0.00015434,0.00032967,0.00003877,0.00028919,0.00002165,0.00000000
